T,K,kappa,theta,sigma,price,error,valid_paths
0.3,0.8,0.11,-0.35,0.2,0.206797,0.00220698,10000
0.3,0.8,0.11,-0.4,0.1,0.201422,0.00162366,10000
0.3,0.8,0.11,-0.4,0.12,0.202747,0.0017449,10000
0.3,0.8,0.11,-0.4,0.13,0.20144,0.00179807,10000
0.3,0.8,0.11,-0.4,0.14,0.203319,0.00186004,10000
0.3,0.8,0.11,-0.4,0.15,0.202773,0.00191805,10000
0.3,0.8,0.11,-0.4,0.16,0.20255,0.00198231,10000
0.3,0.8,0.11,-0.4,0.17,0.202098,0.00204549,10000
0.3,0.8,0.11,-0.4,0.18,0.203726,0.00211293,10000
0.3,0.8,0.11,-0.4,0.19,0.203607,0.00219205,10000
0.3,0.8,0.11,-0.4,0.2,0.202944,0.00226009,10000
0.3,0.8,0.11,-0.45,0.1,0.201307,0.00173415,10000
0.3,0.8,0.11,-0.45,0.12,0.203141,0.00181197,10000
0.3,0.8,0.11,-0.45,0.13,0.202798,0.00189617,10000
0.3,0.8,0.11,-0.45,0.14,0.203303,0.00193717,10000
0.3,0.8,0.11,-0.45,0.15,0.203022,0.00199832,10000
0.3,0.8,0.11,-0.45,0.16,0.203843,0.0020568,10000
0.3,0.8,0.11,-0.45,0.17,0.203585,0.00212408,10000
0.3,0.8,0.11,-0.45,0.18,0.205765,0.002191,10000
0.3,0.8,0.11,-0.45,0.19,0.206011,0.00223481,10000
0.3,0.8,0.11,-0.45,0.2,0.206037,0.00231785,10000
0.3,0.8,0.12,-0.34,0.1,0.201567,0.00152015,10000
0.3,0.8,0.12,-0.34,0.12,0.201015,0.00164738,10000
0.3,0.8,0.12,-0.34,0.13,0.201649,0.00169449,10000
0.3,0.8,0.12,-0.34,0.14,0.202036,0.00177193,10000
0.3,0.8,0.12,-0.34,0.15,0.202319,0.00185716,10000
0.3,0.8,0.12,-0.34,0.16,0.204402,0.00191569,10000
0.3,0.8,0.12,-0.34,0.17,0.20454,0.00198509,10000
0.3,0.8,0.12,-0.34,0.18,0.203266,0.00204744,10000
0.3,0.8,0.12,-0.34,0.19,0.202945,0.00214256,10000
0.3,0.8,0.12,-0.34,0.2,0.204549,0.00220907,10000
0.3,0.8,0.12,-0.3,0.1,0.200493,0.00144038,10000
0.3,0.8,0.12,-0.3,0.12,0.200735,0.00159053,10000
0.3,0.8,0.12,-0.3,0.13,0.20165,0.00162865,10000
0.3,0.8,0.12,-0.3,0.14,0.202159,0.00169675,10000
0.3,0.8,0.12,-0.3,0.15,0.202815,0.0017784,10000
0.3,0.8,0.12,-0.3,0.16,0.20199,0.0018671,10000
0.3,0.8,0.12,-0.3,0.17,0.203373,0.00192174,10000
0.3,0.8,0.12,-0.3,0.18,0.201024,0.00201448,10000
0.3,0.8,0.12,-0.3,0.19,0.203151,0.002075,10000
0.3,0.8,0.12,-0.3,0.2,0.203659,0.00213283,10000
0.3,0.8,0.12,-0.27,0.1,0.200934,0.00138812,10000
0.3,0.8,0.12,-0.27,0.12,0.200863,0.0015294,10000
0.3,0.8,0.12,-0.27,0.13,0.20026,0.00160417,10000
0.3,0.8,0.12,-0.27,0.14,0.202166,0.00164762,10000
0.3,0.8,0.12,-0.27,0.15,0.200557,0.001732,10000
0.3,0.8,0.12,-0.27,0.16,0.202048,0.00182366,10000
0.3,0.8,0.12,-0.27,0.17,0.200252,0.00188401,10000
0.3,0.8,0.12,-0.27,0.18,0.203228,0.00197443,10000
0.3,0.8,0.12,-0.27,0.19,0.20256,0.00205449,10000
0.3,0.8,0.12,-0.27,0.2,0.202807,0.00216922,10000
0.3,0.8,0.12,-0.24,0.1,0.199838,0.00130996,10000
0.3,0.8,0.12,-0.24,0.12,0.199022,0.00149288,10000
0.3,0.8,0.12,-0.24,0.13,0.20214,0.00155151,10000
0.3,0.8,0.12,-0.24,0.14,0.201596,0.00164061,10000
0.3,0.8,0.12,-0.24,0.15,0.201879,0.00170855,10000
0.3,0.8,0.12,-0.24,0.16,0.200768,0.0017914,10000
0.3,0.8,0.12,-0.24,0.17,0.201338,0.0018688,10000
0.3,0.8,0.12,-0.24,0.18,0.201163,0.00194667,10000
0.3,0.8,0.12,-0.24,0.19,0.20243,0.00204741,10000
0.3,0.8,0.12,-0.24,0.2,0.202752,0.00214194,10000
0.3,0.8,0.12,-0.21,0.1,0.200555,0.00127003,10000
0.3,0.8,0.12,-0.21,0.12,0.20088,0.00142063,10000
0.3,0.8,0.12,-0.21,0.13,0.200436,0.00151662,10000
0.3,0.8,0.12,-0.21,0.14,0.200172,0.0016185,10000
0.3,0.8,0.12,-0.21,0.15,0.201758,0.00168888,10000
0.3,0.8,0.12,-0.21,0.16,0.202407,0.00176085,10000
0.3,0.8,0.12,-0.21,0.17,0.200926,0.00186649,10000
0.3,0.8,0.12,-0.21,0.18,0.202707,0.00192551,10000
0.3,0.8,0.12,-0.21,0.19,0.202037,0.00203749,10000
0.3,0.8,0.12,-0.21,0.2,0.201826,0.00206988,10000
0.3,0.8,0.12,-0.25,0.1,0.200172,0.00132388,10000
0.3,0.8,0.12,-0.25,0.12,0.20239,0.00148333,10000
0.3,0.8,0.12,-0.25,0.13,0.202162,0.00156764,10000
0.3,0.8,0.12,-0.25,0.14,0.202426,0.00162948,10000
0.3,0.8,0.12,-0.25,0.15,0.203109,0.00173394,10000
0.3,0.8,0.12,-0.25,0.16,0.200679,0.00181332,10000
0.3,0.8,0.12,-0.25,0.17,0.202873,0.00186822,10000
0.3,0.8,0.12,-0.25,0.18,0.201546,0.00193475,10000
0.3,0.8,0.12,-0.25,0.19,0.201992,0.00203639,10000
0.3,0.8,0.12,-0.25,0.2,0.202522,0.00213834,10000
0.3,0.8,0.12,-0.26,0.1,0.200862,0.00137125,10000
0.3,0.8,0.12,-0.26,0.12,0.200482,0.00150033,10000
0.3,0.8,0.12,-0.26,0.13,0.202136,0.00157214,10000
0.3,0.8,0.12,-0.26,0.14,0.200294,0.00164936,10000
0.3,0.8,0.12,-0.26,0.15,0.201986,0.00172513,10000
0.3,0.8,0.12,-0.26,0.16,0.203261,0.00180241,10000
0.3,0.8,0.12,-0.26,0.17,0.202486,0.00187523,10000
0.3,0.8,0.12,-0.26,0.18,0.202621,0.0019673,10000
0.3,0.8,0.12,-0.26,0.19,0.202646,0.00204024,10000
0.3,0.8,0.12,-0.26,0.2,0.201325,0.00212884,10000
0.3,0.8,0.12,-0.35,0.1,0.20082,0.00154368,10000
0.3,0.8,0.12,-0.35,0.12,0.202337,0.00164775,10000
0.3,0.8,0.12,-0.35,0.13,0.201388,0.00172503,10000
0.3,0.8,0.12,-0.35,0.14,0.202548,0.00178991,10000
0.3,0.8,0.12,-0.35,0.15,0.202252,0.00185997,10000
0.3,0.8,0.12,-0.35,0.16,0.201958,0.00195367,10000
0.3,0.8,0.12,-0.35,0.17,0.202291,0.00200137,10000
0.3,0.8,0.12,-0.35,0.18,0.202713,0.00206873,10000
0.3,0.8,0.12,-0.35,0.19,0.203958,0.00210924,10000
0.3,0.8,0.12,-0.35,0.2,0.202876,0.00220112,10000
0.3,0.8,0.12,-0.4,0.1,0.200648,0.00165886,10000
0.3,0.8,0.12,-0.4,0.12,0.202298,0.0017472,10000
0.3,0.8,0.12,-0.4,0.13,0.201752,0.0018221,10000
0.3,0.8,0.12,-0.4,0.14,0.203328,0.00187546,10000
0.3,0.8,0.12,-0.4,0.15,0.201914,0.00194299,10000
0.3,0.8,0.12,-0.4,0.16,0.203721,0.0019909,10000
0.3,0.8,0.12,-0.4,0.17,0.203259,0.00204649,10000
0.3,0.8,0.12,-0.4,0.18,0.203544,0.00212776,10000
0.3,0.8,0.12,-0.4,0.19,0.203859,0.0021906,10000
0.3,0.8,0.12,-0.4,0.2,0.206757,0.00225981,10000
0.3,0.8,0.12,-0.45,0.1,0.203404,0.0017637,10000
0.3,0.8,0.12,-0.45,0.12,0.200979,0.00186087,10000
0.3,0.8,0.12,-0.45,0.13,0.201621,0.00192265,10000
0.3,0.8,0.12,-0.45,0.14,0.204753,0.00193102,10000
0.3,0.8,0.12,-0.45,0.15,0.205527,0.00201802,10000
0.3,0.8,0.12,-0.45,0.16,0.202344,0.00207934,10000
0.3,0.8,0.12,-0.45,0.17,0.202487,0.00210621,10000
0.3,0.8,0.12,-0.45,0.18,0.205361,0.00215722,10000
0.3,0.8,0.12,-0.45,0.19,0.206067,0.00225375,10000
0.3,0.8,0.12,-0.45,0.2,0.206414,0.00231726,10000
0.3,0.8,0.13,-0.34,0.1,0.201631,0.00153388,10000
0.3,0.8,0.13,-0.34,0.12,0.201921,0.001668,10000
0.3,0.8,0.13,-0.34,0.13,0.201446,0.0017234,10000
0.3,0.8,0.13,-0.34,0.14,0.201552,0.00178368,10000
0.3,0.8,0.13,-0.34,0.15,0.202844,0.00183398,10000
0.3,0.8,0.13,-0.34,0.16,0.20244,0.0019051,10000
0.3,0.8,0.13,-0.34,0.17,0.203098,0.00202246,10000
0.3,0.8,0.13,-0.34,0.18,0.200062,0.002048,10000
0.3,0.8,0.13,-0.34,0.19,0.205004,0.00211602,10000
0.3,0.8,0.13,-0.34,0.2,0.204606,0.00218073,10000
0.3,0.8,0.13,-0.3,0.1,0.201699,0.00145621,10000
0.3,0.8,0.13,-0.3,0.12,0.201911,0.00158084,10000
0.3,0.8,0.13,-0.3,0.13,0.200709,0.00166395,10000
0.3,0.8,0.13,-0.3,0.14,0.201118,0.00171806,10000
0.3,0.8,0.13,-0.3,0.15,0.203896,0.00178222,10000
0.3,0.8,0.13,-0.3,0.16,0.20468,0.00187065,10000
0.3,0.8,0.13,-0.3,0.17,0.202039,0.00195284,10000
0.3,0.8,0.13,-0.3,0.18,0.204607,0.00201827,10000
0.3,0.8,0.13,-0.3,0.19,0.203012,0.00209962,10000
0.3,0.8,0.13,-0.3,0.2,0.203122,0.00218148,10000
0.3,0.8,0.13,-0.27,0.1,0.201396,0.00140098,10000
0.3,0.8,0.13,-0.27,0.12,0.202067,0.00152809,10000
0.3,0.8,0.13,-0.27,0.13,0.20062,0.00161054,10000
0.3,0.8,0.13,-0.27,0.14,0.199781,0.00168634,10000
0.3,0.8,0.13,-0.27,0.15,0.201543,0.0017682,10000
0.3,0.8,0.13,-0.27,0.16,0.200356,0.00184662,10000
0.3,0.8,0.13,-0.27,0.17,0.202522,0.00189995,10000
0.3,0.8,0.13,-0.27,0.18,0.20164,0.00196947,10000
0.3,0.8,0.13,-0.27,0.19,0.203417,0.00206928,10000
0.3,0.8,0.13,-0.27,0.2,0.203425,0.00214885,10000
0.3,0.8,0.13,-0.24,0.1,0.200821,0.00134197,10000
0.3,0.8,0.13,-0.24,0.12,0.201396,0.00150621,10000
0.3,0.8,0.13,-0.24,0.13,0.201916,0.00154941,10000
0.3,0.8,0.13,-0.24,0.14,0.202754,0.00163958,10000
0.3,0.8,0.13,-0.24,0.15,0.200544,0.00171889,10000
0.3,0.8,0.13,-0.24,0.16,0.200839,0.00179056,10000
0.3,0.8,0.13,-0.24,0.17,0.200505,0.00187295,10000
