T,K,kappa,theta,sigma,price,error,valid_paths
0.5,1,0.16,-0.35,0.14,0.0526405,0.00134464,10000
0.5,1,0.16,-0.35,0.15,0.0551515,0.00141734,10000
0.5,1,0.16,-0.35,0.16,0.0565394,0.00146707,10000
0.5,1,0.16,-0.35,0.17,0.0583795,0.00154541,10000
0.5,1,0.16,-0.35,0.18,0.060648,0.00160933,10000
0.5,1,0.16,-0.35,0.19,0.0626864,0.00169555,10000
0.5,1,0.16,-0.35,0.2,0.0642778,0.0017335,10000
0.5,1,0.16,-0.4,0.1,0.0502131,0.00122784,10000
0.5,1,0.16,-0.4,0.12,0.0529048,0.00132152,10000
0.5,1,0.16,-0.4,0.13,0.054042,0.00136212,10000
0.5,1,0.16,-0.4,0.14,0.0570718,0.00142206,10000
0.5,1,0.16,-0.4,0.15,0.0563853,0.00147483,10000
0.5,1,0.16,-0.4,0.16,0.0608898,0.00155083,10000
0.5,1,0.16,-0.4,0.17,0.0616339,0.00159883,10000
0.5,1,0.16,-0.4,0.18,0.0637692,0.00168876,10000
0.5,1,0.16,-0.4,0.19,0.0656423,0.00174027,10000
0.5,1,0.16,-0.4,0.2,0.0676262,0.00180896,10000
0.5,1,0.16,-0.45,0.1,0.0544647,0.0013332,10000
0.5,1,0.16,-0.45,0.12,0.0570458,0.00141692,10000
0.5,1,0.16,-0.45,0.13,0.0586636,0.00147689,10000
0.5,1,0.16,-0.45,0.14,0.0602055,0.00151005,10000
0.5,1,0.16,-0.45,0.15,0.0617303,0.00157062,10000
0.5,1,0.16,-0.45,0.16,0.0636304,0.00161917,10000
0.5,1,0.16,-0.45,0.17,0.0654239,0.00168947,10000
0.5,1,0.16,-0.45,0.18,0.0657012,0.00173148,10000
0.5,1,0.16,-0.45,0.19,0.0690441,0.00181366,10000
0.5,1,0.16,-0.45,0.2,0.0704243,0.00187409,10000
0.5,1,0.17,-0.34,0.1,0.0454242,0.0011017,10000
0.5,1,0.17,-0.34,0.12,0.0477719,0.00120343,10000
0.5,1,0.17,-0.34,0.13,0.0506989,0.00127014,10000
0.5,1,0.17,-0.34,0.14,0.0528363,0.00133437,10000
0.5,1,0.17,-0.34,0.15,0.053586,0.00138286,10000
0.5,1,0.17,-0.34,0.16,0.0572116,0.00146229,10000
0.5,1,0.17,-0.34,0.17,0.0591011,0.00153526,10000
0.5,1,0.17,-0.34,0.18,0.0593394,0.00158662,10000
0.5,1,0.17,-0.34,0.19,0.0619626,0.00166867,10000
0.5,1,0.17,-0.34,0.2,0.064067,0.00173973,10000
0.5,1,0.17,-0.3,0.1,0.0429254,0.00104571,10000
0.5,1,0.17,-0.3,0.12,0.0448972,0.0011286,10000
0.5,1,0.17,-0.3,0.13,0.0472061,0.00120834,10000
0.5,1,0.17,-0.3,0.14,0.049336,0.0012858,10000
0.5,1,0.17,-0.3,0.15,0.0512632,0.0013316,10000
0.5,1,0.17,-0.3,0.16,0.0545107,0.00141894,10000
0.5,1,0.17,-0.3,0.17,0.0544937,0.00145184,10000
0.5,1,0.17,-0.3,0.18,0.0567124,0.00153751,10000
0.5,1,0.17,-0.3,0.19,0.0609693,0.00165369,10000
0.5,1,0.17,-0.3,0.2,0.0629037,0.00174256,10000
0.5,1,0.17,-0.27,0.1,0.0397607,0.000988223,10000
0.5,1,0.17,-0.27,0.12,0.0430358,0.00108969,10000
0.5,1,0.17,-0.27,0.13,0.0453461,0.00115475,10000
0.5,1,0.17,-0.27,0.14,0.0482051,0.00123292,10000
0.5,1,0.17,-0.27,0.15,0.0501225,0.0013228,10000
0.5,1,0.17,-0.27,0.16,0.0532449,0.00138371,10000
0.5,1,0.17,-0.27,0.17,0.0544569,0.00146719,10000
0.5,1,0.17,-0.27,0.18,0.0557217,0.00153054,10000
0.5,1,0.17,-0.27,0.19,0.057497,0.00159915,10000
0.5,1,0.17,-0.27,0.2,0.0607273,0.00168168,10000
0.5,1,0.17,-0.24,0.1,0.0379575,0.000934045,10000
0.5,1,0.17,-0.24,0.12,0.0412507,0.00105289,10000
0.5,1,0.17,-0.24,0.13,0.0437025,0.00113667,10000
0.5,1,0.17,-0.24,0.14,0.0464887,0.00119795,10000
0.5,1,0.17,-0.24,0.15,0.0465992,0.00127814,10000
0.5,1,0.17,-0.24,0.16,0.050028,0.00135643,10000
0.5,1,0.17,-0.24,0.17,0.0525129,0.00144091,10000
0.5,1,0.17,-0.24,0.18,0.0545344,0.00152202,10000
0.5,1,0.17,-0.24,0.19,0.0567692,0.00161303,10000
0.5,1,0.17,-0.24,0.2,0.0586683,0.00169953,10000
0.5,1,0.17,-0.21,0.1,0.0354144,0.000889259,10000
0.5,1,0.17,-0.21,0.12,0.0393191,0.00103187,10000
0.5,1,0.17,-0.21,0.13,0.041419,0.00111214,10000
0.5,1,0.17,-0.21,0.14,0.0437015,0.00116959,10000
0.5,1,0.17,-0.21,0.15,0.0465515,0.00124584,10000
0.5,1,0.17,-0.21,0.16,0.0490183,0.00135935,10000
0.5,1,0.17,-0.21,0.17,0.0508233,0.00142047,10000
0.5,1,0.17,-0.21,0.18,0.0535214,0.00150244,10000
0.5,1,0.17,-0.21,0.19,0.056041,0.00160246,10000
0.5,1,0.17,-0.21,0.2,0.0580837,0.00171168,10000
0.5,1,0.17,-0.25,0.1,0.0387933,0.000952246,10000
0.5,1,0.17,-0.25,0.12,0.0416402,0.00108901,10000
0.5,1,0.17,-0.25,0.13,0.0442538,0.00116008,10000
0.5,1,0.17,-0.25,0.14,0.0464708,0.00121057,10000
0.5,1,0.17,-0.25,0.15,0.0477555,0.00128909,10000
0.5,1,0.17,-0.25,0.16,0.0504787,0.00137744,10000
0.5,1,0.17,-0.25,0.17,0.0511208,0.00139513,10000
0.5,1,0.17,-0.25,0.18,0.0548975,0.00152471,10000
0.5,1,0.17,-0.25,0.19,0.0569445,0.00158883,10000
0.5,1,0.17,-0.25,0.2,0.0588363,0.0016933,10000
0.5,1,0.17,-0.26,0.1,0.0401687,0.000977961,10000
0.5,1,0.17,-0.26,0.12,0.0418513,0.00106495,10000
0.5,1,0.17,-0.26,0.13,0.0450306,0.00116487,10000
0.5,1,0.17,-0.26,0.14,0.0468924,0.0012332,10000
0.5,1,0.17,-0.26,0.15,0.0495689,0.0012926,10000
0.5,1,0.17,-0.26,0.16,0.0498882,0.00135403,10000
0.5,1,0.17,-0.26,0.17,0.0527745,0.00143998,10000
0.5,1,0.17,-0.26,0.18,0.0557175,0.0015332,10000
0.5,1,0.17,-0.26,0.19,0.0580475,0.00163385,10000
0.5,1,0.17,-0.26,0.2,0.0591299,0.0016896,10000
0.5,1,0.17,-0.35,0.1,0.0459697,0.00113016,10000
0.5,1,0.17,-0.35,0.12,0.0506769,0.00123062,10000
0.5,1,0.17,-0.35,0.13,0.0517294,0.0012812,10000
0.5,1,0.17,-0.35,0.14,0.054115,0.00135388,10000
0.5,1,0.17,-0.35,0.15,0.0550772,0.00139546,10000
0.5,1,0.17,-0.35,0.16,0.0576541,0.00149013,10000
0.5,1,0.17,-0.35,0.17,0.057884,0.0015273,10000
0.5,1,0.17,-0.35,0.18,0.060338,0.00161271,10000
0.5,1,0.17,-0.35,0.19,0.061564,0.00164872,10000
0.5,1,0.17,-0.35,0.2,0.0654539,0.00175063,10000
0.5,1,0.17,-0.4,0.1,0.0503954,0.00124618,10000
0.5,1,0.17,-0.4,0.12,0.0537512,0.0013144,10000
0.5,1,0.17,-0.4,0.13,0.0554779,0.00139369,10000
0.5,1,0.17,-0.4,0.14,0.0576002,0.00143675,10000
0.5,1,0.17,-0.4,0.15,0.05858,0.00148708,10000
0.5,1,0.17,-0.4,0.16,0.0606016,0.00156084,10000
0.5,1,0.17,-0.4,0.17,0.0612321,0.0015881,10000
0.5,1,0.17,-0.4,0.18,0.0646973,0.00168314,10000
0.5,1,0.17,-0.4,0.19,0.0659755,0.00171448,10000
0.5,1,0.17,-0.4,0.2,0.0677596,0.00179505,10000
0.5,1,0.17,-0.45,0.1,0.0565739,0.00135757,10000
0.5,1,0.17,-0.45,0.12,0.0596947,0.00145928,10000
0.5,1,0.17,-0.45,0.13,0.059458,0.00148381,10000
0.5,1,0.17,-0.45,0.14,0.0608622,0.00151597,10000
0.5,1,0.17,-0.45,0.15,0.0632267,0.00158601,10000
0.5,1,0.17,-0.45,0.16,0.064022,0.0016346,10000
0.5,1,0.17,-0.45,0.17,0.065371,0.00168752,10000
0.5,1,0.17,-0.45,0.18,0.0684696,0.0017659,10000
0.5,1,0.17,-0.45,0.19,0.068692,0.00180146,10000
0.5,1,0.17,-0.45,0.2,0.0723573,0.00190276,10000
0.5,1,0.18,-0.34,0.1,0.045457,0.00110885,10000
0.5,1,0.18,-0.34,0.12,0.0488678,0.00121351,10000
0.5,1,0.18,-0.34,0.13,0.0509066,0.00126172,10000
0.5,1,0.18,-0.34,0.14,0.0529357,0.00134153,10000
0.5,1,0.18,-0.34,0.15,0.0538873,0.00137918,10000
0.5,1,0.18,-0.34,0.16,0.0556028,0.00143795,10000
0.5,1,0.18,-0.34,0.17,0.0592435,0.00152675,10000
0.5,1,0.18,-0.34,0.18,0.0599511,0.00158637,10000
0.5,1,0.18,-0.34,0.19,0.0638282,0.00168522,10000
0.5,1,0.18,-0.34,0.2,0.0646777,0.00174573,10000
0.5,1,0.18,-0.3,0.1,0.042624,0.00104508,10000
0.5,1,0.18,-0.3,0.12,0.0455554,0.00113686,10000
0.5,1,0.18,-0.3,0.13,0.0484541,0.00120813,10000
0.5,1,0.18,-0.3,0.14,0.0510089,0.00129012,10000
0.5,1,0.18,-0.3,0.15,0.0520551,0.00136194,10000
0.5,1,0.18,-0.3,0.16,0.0537522,0.00140687,10000
0.5,1,0.18,-0.3,0.17,0.0560594,0.00148129,10000
0.5,1,0.18,-0.3,0.18,0.0579815,0.00154671,10000
0.5,1,0.18,-0.3,0.19,0.0600928,0.0016268,10000
0.5,1,0.18,-0.3,0.2,0.0636578,0.00171241,10000
0.5,1,0.18,-0.27,0.1,0.0399101,0.000983778,10000
0.5,1,0.18,-0.27,0.12,0.0440585,0.00110982,10000
0.5,1,0.18,-0.27,0.13,0.0459857,0.00118752,10000
0.5,1,0.18,-0.27,0.14,0.0491062,0.00124864,10000
0.5,1,0.18,-0.27,0.15,0.0506322,0.0013181,10000
0.5,1,0.18,-0.27,0.16,0.0523252,0.00139658,10000
0.5,1,0.18,-0.27,0.17,0.0534324,0.00145101,10000
0.5,1,0.18,-0.27,0.18,0.0570455,0.00152879,10000
0.5,1,0.18,-0.27,0.19,0.0582817,0.00161256,10000
0.5,1,0.18,-0.27,0.2,0.0620404,0.00169533,10000
0.5,1,0.18,-0.24,0.1,0.0376274,0.000931015,10000
0.5,1,0.18,-0.24,0.12,0.0417139,0.00106383,10000
0.5,1,0.18,-0.24,0.13,0.043334,0.00112745,10000
0.5,1,0.18,-0.24,0.14,0.0455528,0.00119331,10000
0.5,1,0.18,-0.24,0.15,0.0483183,0.00126668,10000
0.5,1,0.18,-0.24,0.16,0.0503927,0.0013587,10000
0.5,1,0.18,-0.24,0.17,0.0517206,0.00143838,10000
0.5,1,0.18,-0.24,0.18,0.0547547,0.00151099,10000
0.5,1,0.18,-0.24,0.19,0.0564945,0.00160483,10000
0.5,1,0.18,-0.24,0.2,0.0591458,0.00168324,10000
0.5,1,0.18,-0.21,0.1,0.0349225,0.000885389,10000
0.5,1,0.18,-0.21,0.12,0.0394747,0.00103242,10000
0.5,1,0.18,-0.21,0.13,0.0415284,0.00109274,10000
0.5,1,0.18,-0.21,0.14,0.0440418,0.00115856,10000
0.5,1,0.18,-0.21,0.15,0.0461488,0.00125513,10000
0.5,1,0.18,-0.21,0.16,0.0479152,0.00132124,10000
0.5,1,0.18,-0.21,0.17,0.0507941,0.00142927,10000
0.5,1,0.18,-0.21,0.18,0.0532531,0.00150393,10000
0.5,1,0.18,-0.21,0.19,0.0561587,0.00158743,10000
0.5,1,0.18,-0.21,0.2,0.0569647,0.00164012,10000
0.5,1,0.18,-0.25,0.1,0.0384955,0.000952762,10000
0.5,1,0.18,-0.25,0.12,0.0427877,0.0010745,10000
0.5,1,0.18,-0.25,0.13,0.0436711,0.00113897,10000
0.5,1,0.18,-0.25,0.14,0.0462457,0.00121628,10000
0.5,1,0.18,-0.25,0.15,0.0480653,0.00127285,10000
0.5,1,0.18,-0.25,0.16,0.0507849,0.00136897,10000
0.5,1,0.18,-0.25,0.17,0.052946,0.00143687,10000
0.5,1,0.18,-0.25,0.18,0.0538584,0.00148853,10000
0.5,1,0.18,-0.25,0.19,0.0582833,0.00160502,10000
0.5,1,0.18,-0.25,0.2,0.0596911,0.00166917,10000
0.5,1,0.18,-0.26,0.1,0.0397676,0.000969396,10000
0.5,1,0.18,-0.26,0.12,0.0429461,0.00108761,10000
0.5,1,0.18,-0.26,0.13,0.0462217,0.00115741,10000
0.5,1,0.18,-0.26,0.14,0.0463074,0.00123129,10000
0.5,1,0.18,-0.26,0.15,0.0503361,0.00130294,10000
0.5,1,0.18,-0.26,0.16,0.0498185,0.00133922,10000
0.5,1,0.18,-0.26,0.17,0.0530686,0.00143876,10000
0.5,1,0.18,-0.26,0.18,0.0543645,0.00149906,10000
0.5,1,0.18,-0.26,0.19,0.0566578,0.00159578,10000
0.5,1,0.18,-0.26,0.2,0.060366,0.0016822,10000
0.5,1,0.18,-0.35,0.1,0.0481739,0.00116198,10000
0.5,1,0.18,-0.35,0.12,0.0511027,0.00125405,10000
0.5,1,0.18,-0.35,0.13,0.051438,0.00128571,10000
0.5,1,0.18,-0.35,0.14,0.0528002,0.00133827,10000
0.5,1,0.18,-0.35,0.15,0.055445,0.00140947,10000
0.5,1,0.18,-0.35,0.16,0.05799,0.0014647,10000
0.5,1,0.18,-0.35,0.17,0.0588344,0.00154252,10000
0.5,1,0.18,-0.35,0.18,0.0604979,0.00159341,10000
0.5,1,0.18,-0.35,0.19,0.0636122,0.00170453,10000
0.5,1,0.18,-0.35,0.2,0.0663526,0.00177647,10000
0.5,1,0.18,-0.4,0.1,0.0532555,0.00126873,10000
0.5,1,0.18,-0.4,0.12,0.0540694,0.00133528,10000
0.5,1,0.18,-0.4,0.13,0.0566253,0.00138726,10000
0.5,1,0.18,-0.4,0.14,0.0585457,0.00143765,10000
0.5,1,0.18,-0.4,0.15,0.0584345,0.00148615,10000
0.5,1,0.18,-0.4,0.16,0.0616766,0.00156335,10000
0.5,1,0.18,-0.4,0.17,0.062874,0.00161936,10000
0.5,1,0.18,-0.4,0.18,0.0649619,0.00167436,10000
0.5,1,0.18,-0.4,0.19,0.0678032,0.00175801,10000
0.5,1,0.18,-0.4,0.2,0.0691804,0.00182346,10000
0.5,1,0.18,-0.45,0.1,0.0558334,0.0013744,10000
0.5,1,0.18,-0.45,0.12,0.0590775,0.00144811,10000
0.5,1,0.18,-0.45,0.13,0.059584,0.0014801,10000
0.5,1,0.18,-0.45,0.14,0.0622962,0.00153112,10000
0.5,1,0.18,-0.45,0.15,0.0628984,0.00156767,10000
0.5,1,0.18,-0.45,0.16,0.0655999,0.00163943,10000
0.5,1,0.18,-0.45,0.17,0.0667688,0.00170343,10000
0.5,1,0.18,-0.45,0.18,0.0682415,0.00175195,10000
0.5,1,0.18,-0.45,0.19,0.0712889,0.00181292,10000
0.5,1,0.18,-0.45,0.2,0.0715708,0.00188759,10000
0.5,1,0.19,-0.34,0.1,0.0482033,0.00114155,10000
0.5,1,0.19,-0.34,0.12,0.0494816,0.00122582,10000
0.5,1,0.19,-0.34,0.13,0.0529223,0.00130591,10000
0.5,1,0.19,-0.34,0.14,0.0532704,0.00133979,10000
0.5,1,0.19,-0.34,0.15,0.0556247,0.00139427,10000
0.5,1,0.19,-0.34,0.16,0.0562882,0.00145258,10000
0.5,1,0.19,-0.34,0.17,0.059395,0.00154106,10000
0.5,1,0.19,-0.34,0.18,0.0617588,0.00158724,10000
0.5,1,0.19,-0.34,0.19,0.063172,0.00166192,10000
0.5,1,0.19,-0.34,0.2,0.0654166,0.00174597,10000
0.5,1,0.19,-0.3,0.1,0.042836,0.00103685,10000
0.5,1,0.19,-0.3,0.12,0.0468901,0.00116329,10000
0.5,1,0.19,-0.3,0.13,0.0489554,0.00121687,10000
0.5,1,0.19,-0.3,0.14,0.0515949,0.00129743,10000
0.5,1,0.19,-0.3,0.15,0.051174,0.00133889,10000
0.5,1,0.19,-0.3,0.16,0.0536765,0.00140877,10000
0.5,1,0.19,-0.3,0.17,0.0567704,0.00149201,10000
0.5,1,0.19,-0.3,0.18,0.0580392,0.00156485,10000
0.5,1,0.19,-0.3,0.19,0.0603799,0.00162915,10000
0.5,1,0.19,-0.3,0.2,0.0615996,0.00172275,10000
0.5,1,0.19,-0.27,0.1,0.0416837,0.000998576,10000
0.5,1,0.19,-0.27,0.12,0.0443388,0.00110169,10000
0.5,1,0.19,-0.27,0.13,0.0468842,0.00117886,10000
0.5,1,0.19,-0.27,0.14,0.0477926,0.00123264,10000
0.5,1,0.19,-0.27,0.15,0.0504359,0.00130854,10000
0.5,1,0.19,-0.27,0.16,0.0523567,0.00138836,10000
0.5,1,0.19,-0.27,0.17,0.0551204,0.00147445,10000
0.5,1,0.19,-0.27,0.18,0.0575477,0.00156181,10000
0.5,1,0.19,-0.27,0.19,0.0589884,0.00164522,10000
0.5,1,0.19,-0.27,0.2,0.0618698,0.00168542,10000
0.5,1,0.19,-0.24,0.1,0.0382666,0.000945553,10000
0.5,1,0.19,-0.24,0.12,0.0423005,0.00107314,10000
0.5,1,0.19,-0.24,0.13,0.0430295,0.00111163,10000
0.5,1,0.19,-0.24,0.14,0.0467675,0.00120556,10000
0.5,1,0.19,-0.24,0.15,0.0477121,0.00127465,10000
0.5,1,0.19,-0.24,0.16,0.0502401,0.00134313,10000
0.5,1,0.19,-0.24,0.17,0.0528505,0.00144372,10000
0.5,1,0.19,-0.24,0.18,0.0556975,0.00153301,10000
0.5,1,0.19,-0.24,0.19,0.056231,0.00158165,10000
0.5,1,0.19,-0.24,0.2,0.059317,0.00168272,10000
0.5,1,0.19,-0.21,0.1,0.0359311,0.000882784,10000
0.5,1,0.19,-0.21,0.12,0.0405179,0.00104021,10000
0.5,1,0.19,-0.21,0.13,0.0419795,0.00109,10000
0.5,1,0.19,-0.21,0.14,0.0445909,0.00117857,10000
0.5,1,0.19,-0.21,0.15,0.0460373,0.00122883,10000
0.5,1,0.19,-0.21,0.16,0.049248,0.00134832,10000
0.5,1,0.19,-0.21,0.17,0.0506008,0.00140919,10000
0.5,1,0.19,-0.21,0.18,0.0538078,0.00152011,10000
0.5,1,0.19,-0.21,0.19,0.0564662,0.00161799,10000
0.5,1,0.19,-0.21,0.2,0.0572516,0.00166569,10000
0.5,1,0.19,-0.25,0.1,0.0388725,0.000955462,10000
0.5,1,0.19,-0.25,0.12,0.0422724,0.00107142,10000
0.5,1,0.19,-0.25,0.13,0.0440437,0.00112456,10000
0.5,1,0.19,-0.25,0.14,0.046929,0.00121532,10000
0.5,1,0.19,-0.25,0.15,0.0482238,0.00127121,10000
0.5,1,0.19,-0.25,0.16,0.0517262,0.00136635,10000
0.5,1,0.19,-0.25,0.17,0.0531688,0.00144981,10000
0.5,1,0.19,-0.25,0.18,0.0565429,0.00151455,10000
0.5,1,0.19,-0.25,0.19,0.0587483,0.00162865,10000
0.5,1,0.19,-0.25,0.2,0.0592026,0.00169237,10000
0.5,1,0.19,-0.26,0.1,0.0406272,0.000985626,10000
0.5,1,0.19,-0.26,0.12,0.0437567,0.00108615,10000
0.5,1,0.19,-0.26,0.13,0.045179,0.00114147,10000
0.5,1,0.19,-0.26,0.14,0.0473711,0.00121351,10000
0.5,1,0.19,-0.26,0.15,0.0505071,0.00130889,10000
0.5,1,0.19,-0.26,0.16,0.0521383,0.00138474,10000
0.5,1,0.19,-0.26,0.17,0.0555064,0.00146429,10000
0.5,1,0.19,-0.26,0.18,0.0562265,0.00151392,10000
0.5,1,0.19,-0.26,0.19,0.0592284,0.00161368,10000
0.5,1,0.19,-0.26,0.2,0.0587729,0.00165382,10000
0.5,1,0.19,-0.35,0.1,0.0478594,0.00114951,10000
0.5,1,0.19,-0.35,0.12,0.0512742,0.00125784,10000
0.5,1,0.19,-0.35,0.13,0.0533764,0.00129776,10000
0.5,1,0.19,-0.35,0.14,0.0548306,0.00135916,10000
0.5,1,0.19,-0.35,0.15,0.0565338,0.00142201,10000
0.5,1,0.19,-0.35,0.16,0.0580202,0.00147594,10000
0.5,1,0.19,-0.35,0.17,0.0583986,0.00154467,10000
0.5,1,0.19,-0.35,0.18,0.0622609,0.00162238,10000
0.5,1,0.19,-0.35,0.19,0.0633538,0.00167021,10000
0.5,1,0.19,-0.35,0.2,0.0663705,0.00176468,10000
0.5,1,0.19,-0.4,0.1,0.0524268,0.00126942,10000
0.5,1,0.19,-0.4,0.12,0.0553131,0.00135047,10000
0.5,1,0.19,-0.4,0.13,0.0578955,0.00140243,10000
0.5,1,0.19,-0.4,0.14,0.057401,0.00144899,10000
0.5,1,0.19,-0.4,0.15,0.059584,0.00150056,10000
0.5,1,0.19,-0.4,0.16,0.0608676,0.00154431,10000
0.5,1,0.19,-0.4,0.17,0.0634493,0.00160355,10000
0.5,1,0.19,-0.4,0.18,0.0655841,0.00167557,10000
0.5,1,0.19,-0.4,0.19,0.0671404,0.0017419,10000
0.5,1,0.19,-0.4,0.2,0.0680745,0.00180715,10000
0.5,1,0.19,-0.45,0.1,0.0576044,0.00138738,10000
0.5,1,0.19,-0.45,0.12,0.0592537,0.0014561,10000
0.5,1,0.19,-0.45,0.13,0.0614597,0.00150254,10000
0.5,1,0.19,-0.45,0.14,0.0623609,0.00154242,10000
0.5,1,0.19,-0.45,0.15,0.0633224,0.0015721,10000
0.5,1,0.19,-0.45,0.16,0.0667846,0.00165269,10000
0.5,1,0.19,-0.45,0.17,0.0678495,0.0017053,10000
0.5,1,0.19,-0.45,0.18,0.0667824,0.00173725,10000
0.5,1,0.19,-0.45,0.19,0.0703026,0.00181865,10000
0.5,1,0.19,-0.45,0.2,0.0714309,0.0018599,10000
0.5,1,0.2,-0.34,0.1,0.0479499,0.00114812,10000
0.5,1,0.2,-0.34,0.12,0.0506602,0.0012368,10000
0.5,1,0.2,-0.34,0.13,0.0520586,0.00129012,10000
0.5,1,0.2,-0.34,0.14,0.0544521,0.00136029,10000
0.5,1,0.2,-0.34,0.15,0.0566597,0.00142156,10000
0.5,1,0.2,-0.34,0.16,0.0570681,0.00143793,10000
0.5,1,0.2,-0.34,0.17,0.0596496,0.00153102,10000
0.5,1,0.2,-0.34,0.18,0.0610346,0.0015953,10000
0.5,1,0.2,-0.34,0.19,0.064477,0.00168461,10000
0.5,1,0.2,-0.34,0.2,0.0644801,0.00174,10000
0.5,1,0.2,-0.3,0.1,0.0433528,0.00104518,10000
0.5,1,0.2,-0.3,0.12,0.0485252,0.00117403,10000
0.5,1,0.2,-0.3,0.13,0.048815,0.00122497,10000
0.5,1,0.2,-0.3,0.14,0.0507737,0.00127507,10000
0.5,1,0.2,-0.3,0.15,0.053052,0.00134428,10000
0.5,1,0.2,-0.3,0.16,0.0551996,0.00141107,10000
0.5,1,0.2,-0.3,0.17,0.0560851,0.00147416,10000
0.5,1,0.2,-0.3,0.18,0.0595637,0.00155073,10000
0.5,1,0.2,-0.3,0.19,0.0607632,0.00161538,10000
0.5,1,0.2,-0.3,0.2,0.0638731,0.00172666,10000
0.5,1,0.2,-0.27,0.1,0.0411843,0.000997374,10000
0.5,1,0.2,-0.27,0.12,0.0441143,0.00110282,10000
0.5,1,0.2,-0.27,0.13,0.0467352,0.00117341,10000
0.5,1,0.2,-0.27,0.14,0.0480515,0.00123626,10000
0.5,1,0.2,-0.27,0.15,0.0506785,0.00130485,10000
0.5,1,0.2,-0.27,0.16,0.0519192,0.00135987,10000
0.5,1,0.2,-0.27,0.17,0.0552856,0.00146557,10000
0.5,1,0.2,-0.27,0.18,0.0572601,0.001543,10000
0.5,1,0.2,-0.27,0.19,0.0598551,0.00161266,10000
0.5,1,0.2,-0.27,0.2,0.0610266,0.00166002,10000
0.5,1,0.2,-0.24,0.1,0.0386491,0.000956169,10000
0.5,1,0.2,-0.24,0.12,0.0421716,0.0010551,10000
0.5,1,0.2,-0.24,0.13,0.0435979,0.00113351,10000
0.5,1,0.2,-0.24,0.14,0.0470929,0.00120729,10000
0.5,1,0.2,-0.24,0.15,0.0488868,0.00129098,10000
0.5,1,0.2,-0.24,0.16,0.0499988,0.00133022,10000
0.5,1,0.2,-0.24,0.17,0.0523031,0.00140941,10000
0.5,1,0.2,-0.24,0.18,0.0554123,0.00150059,10000
0.5,1,0.2,-0.24,0.19,0.0586832,0.00160265,10000
0.5,1,0.2,-0.24,0.2,0.0599721,0.00168308,10000
0.5,1,0.2,-0.21,0.1,0.0362204,0.000896934,10000
0.5,1,0.2,-0.21,0.12,0.0400519,0.00102226,10000
0.5,1,0.2,-0.21,0.13,0.0424261,0.0010904,10000
0.5,1,0.2,-0.21,0.14,0.0439538,0.00116358,10000
0.5,1,0.2,-0.21,0.15,0.0457345,0.00124946,10000
0.5,1,0.2,-0.21,0.16,0.0486924,0.00134448,10000
0.5,1,0.2,-0.21,0.17,0.0506246,0.00140907,10000
0.5,1,0.2,-0.21,0.18,0.0541736,0.00152404,10000
0.5,1,0.2,-0.21,0.19,0.0554204,0.0015589,10000
0.5,1,0.2,-0.21,0.2,0.0582421,0.00166352,10000
0.5,1,0.2,-0.25,0.1,0.039651,0.000961279,10000
0.5,1,0.2,-0.25,0.12,0.0429673,0.00107319,10000
0.5,1,0.2,-0.25,0.13,0.0451866,0.00114005,10000
0.5,1,0.2,-0.25,0.14,0.045691,0.00120674,10000
0.5,1,0.2,-0.25,0.15,0.0501801,0.00129157,10000
0.5,1,0.2,-0.25,0.16,0.0514766,0.00134874,10000
0.5,1,0.2,-0.25,0.17,0.054836,0.0014742,10000
0.5,1,0.2,-0.25,0.18,0.0563115,0.00154769,10000
0.5,1,0.2,-0.25,0.19,0.0567342,0.00155201,10000
0.5,1,0.2,-0.25,0.2,0.0601417,0.00166773,10000
0.5,1,0.2,-0.26,0.1,0.0404123,0.000976575,10000
0.5,1,0.2,-0.26,0.12,0.0442182,0.00109963,10000
0.5,1,0.2,-0.26,0.13,0.0464205,0.00115665,10000
0.5,1,0.2,-0.26,0.14,0.0465098,0.00119996,10000
0.5,1,0.2,-0.26,0.15,0.0494336,0.00129989,10000
0.5,1,0.2,-0.26,0.16,0.052031,0.00138164,10000
0.5,1,0.2,-0.26,0.17,0.0529704,0.00143127,10000
0.5,1,0.2,-0.26,0.18,0.0577214,0.00155296,10000
0.5,1,0.2,-0.26,0.19,0.0567096,0.00158528,10000
0.5,1,0.2,-0.26,0.2,0.0609891,0.00170739,10000
0.5,1,0.2,-0.35,0.1,0.0485429,0.0011693,10000
0.5,1,0.2,-0.35,0.12,0.050952,0.00125022,10000
0.5,1,0.2,-0.35,0.13,0.0522438,0.00129688,10000
0.5,1,0.2,-0.35,0.14,0.0554447,0.00136928,10000
0.5,1,0.2,-0.35,0.15,0.0576358,0.00143537,10000
0.5,1,0.2,-0.35,0.16,0.0591755,0.00148956,10000
0.5,1,0.2,-0.35,0.17,0.0599025,0.00153038,10000
0.5,1,0.2,-0.35,0.18,0.0610996,0.00157615,10000
0.5,1,0.2,-0.35,0.19,0.0644173,0.00165605,10000
0.5,1,0.2,-0.35,0.2,0.0661438,0.00175122,10000
0.5,1,0.2,-0.4,0.1,0.0530106,0.00128239,10000
0.5,1,0.2,-0.4,0.12,0.0570073,0.00136046,10000
0.5,1,0.2,-0.4,0.13,0.0573328,0.00140758,10000
0.5,1,0.2,-0.4,0.14,0.05881,0.00144888,10000
0.5,1,0.2,-0.4,0.15,0.0616673,0.0015202,10000
